4 0 0
3.99803 0 0.0627905
3.99211 0 0.125333
3.98229 0 0.187381
3.96858 0 0.24869
3.95106 0 0.309017
3.92978 0 0.368125
3.90483 0 0.425779
3.87631 0 0.481754
3.84433 0 0.535827
3.80902 0 0.587785
3.77051 0 0.637424
3.72897 0 0.684547
3.68455 0 0.728969
3.63742 0 0.770513
3.58779 0 0.809017
3.53583 0 0.844328
3.48175 0 0.876307
3.42578 0 0.904827
3.36812 0 0.929776
3.30902 0 0.951057
3.24869 0 0.968583
3.18738 0 0.982287
3.12533 0 0.992115
3.06279 0 0.998027
3 0 1
2.93721 0 0.998027
2.87467 0 0.992115
2.81262 0 0.982287
2.75131 0 0.968583
2.69098 0 0.951057
2.63188 0 0.929776
2.57422 0 0.904827
2.51825 0 0.876307
2.46417 0 0.844328
2.41221 0 0.809017
2.36258 0 0.770513
2.31545 0 0.728969
2.27103 0 0.684547
2.22949 0 0.637424
2.19098 0 0.587785
2.15567 0 0.535827
2.12369 0 0.481754
2.09517 0 0.425779
2.07022 0 0.368125
2.04894 0 0.309017
2.03142 0 0.24869
2.01771 0 0.187381
2.00789 0 0.125333
2.00197 0 0.0627905
2 0 1.22465e-16
2.00197 0 -0.0627905
2.00789 0 -0.125333
2.01771 0 -0.187381
2.03142 0 -0.24869
2.04894 0 -0.309017
2.07022 0 -0.368125
2.09517 0 -0.425779
2.12369 0 -0.481754
2.15567 0 -0.535827
2.19098 0 -0.587785
2.22949 0 -0.637424
2.27103 0 -0.684547
2.31545 0 -0.728969
2.36258 0 -0.770513
2.41221 0 -0.809017
2.46417 0 -0.844328
2.51825 0 -0.876307
2.57422 0 -0.904827
2.63188 0 -0.929776
2.69098 0 -0.951057
2.75131 0 -0.968583
2.81262 0 -0.982287
2.87467 0 -0.992115
2.93721 0 -0.998027
3 0 -1
3.06279 0 -0.998027
3.12533 0 -0.992115
3.18738 0 -0.982287
3.24869 0 -0.968583
3.30902 0 -0.951057
3.36812 0 -0.929776
3.42578 0 -0.904827
3.48175 0 -0.876307
3.53583 0 -0.844328
3.58779 0 -0.809017
3.63742 0 -0.770513
3.68455 0 -0.728969
3.72897 0 -0.684547
3.77051 0 -0.637424
3.80902 0 -0.587785
3.84433 0 -0.535827
3.87631 0 -0.481754
3.90483 0 -0.425779
3.92978 0 -0.368125
3.95106 0 -0.309017
3.96858 0 -0.24869
3.98229 0 -0.187381
3.99211 0 -0.125333
3.99803 0 -0.0627905
3.99992 0.0251326 0
3.99795 0.0251202 0.0627905
3.99204 0.025083 0.125333
3.98221 0.0250213 0.187381
3.9685 0.0249352 0.24869
3.95098 0.0248251 0.309017
3.9297 0.0246914 0.368125
3.90475 0.0245346 0.425779
3.87623 0.0243554 0.481754
3.84425 0.0241545 0.535827
3.80894 0.0239326 0.587785
3.77044 0.0236907 0.637424
3.7289 0.0234296 0.684547
3.68447 0.0231505 0.728969
3.63735 0.0228545 0.770513
3.58771 0.0225426 0.809017
3.53576 0.0222161 0.844328
3.48168 0.0218764 0.876307
3.42571 0.0215247 0.904827
3.36806 0.0211624 0.929776
3.30895 0.020791 0.951057
3.24863 0.020412 0.968583
3.18732 0.0200268 0.982287
3.12527 0.0196369 0.992115
3.06273 0.019244 0.998027
2.99994 0.0188494 1
2.93715 0.0184549 0.998027
2.87461 0.0180619 0.992115
2.81256 0.0176721 0.982287
2.75126 0.0172869 0.968583
2.69093 0.0169078 0.951057
2.63182 0.0165365 0.929776
2.57417 0.0161742 0.904827
2.5182 0.0158225 0.876307
2.46412 0.0154828 0.844328
2.41217 0.0151563 0.809017
2.36253 0.0148444 0.770513
2.31541 0.0145483 0.728969
2.27099 0.0142692 0.684547
2.22944 0.0140082 0.637424
2.19094 0.0137663 0.587785
2.15563 0.0135444 0.535827
2.12365 0.0133435 0.481754
2.09513 0.0131643 0.425779
2.07018 0.0130075 0.368125
2.0489 0.0128738 0.309017
2.03138 0.0127637 0.24869
2.01767 0.0126776 0.187381
2.00785 0.0126158 0.125333
2.00193 0.0125787 0.0627905
1.99996 0.0125663 1.22465e-16
2.00193 0.0125787 -0.0627905
2.00785 0.0126158 -0.125333
2.01767 0.0126776 -0.187381
2.03138 0.0127637 -0.24869
2.0489 0.0128738 -0.309017
2.07018 0.0130075 -0.368125
2.09513 0.0131643 -0.425779
2.12365 0.0133435 -0.481754
2.15563 0.0135444 -0.535827
2.19094 0.0137663 -0.587785
2.22944 0.0140082 -0.637424
2.27099 0.0142692 -0.684547
2.31541 0.0145483 -0.728969
2.36253 0.0148444 -0.770513
2.41217 0.0151563 -0.809017
2.46412 0.0154828 -0.844328
2.5182 0.0158225 -0.876307
2.57417 0.0161742 -0.904827
2.63182 0.0165365 -0.929776
